epoch,step,loss
0,1,0.6357308626174927
0,2,1.0242024660110474
0,3,0.6226419806480408
0,4,0.31342145800590515
0,5,0.35697123408317566
0,6,0.35695353150367737
0,7,0.24224847555160522
0,8,0.23022359609603882
0,9,0.27335914969444275
0,10,0.32451894879341125
0,11,0.2699887156486511
0,12,0.21718402206897736
0,13,0.3220173418521881
0,14,0.1892489343881607
0,15,0.24822282791137695
0,16,0.20550476014614105
0,17,0.21465468406677246
0,18,0.2009153515100479
0,19,0.25079795718193054
0,20,0.23246239125728607
0,21,0.158466175198555
0,22,0.1717701107263565
0,23,0.1829187422990799
0,24,0.18121807277202606
0,25,0.13236010074615479
0,26,0.10058209300041199
0,27,0.18089264631271362
0,28,0.13004647195339203
0,29,0.10627090930938721
0,30,0.18708615005016327
0,31,0.1308113932609558
0,32,0.14002558588981628
0,33,0.12776657938957214
0,34,0.1053205206990242
0,35,0.1384606510400772
0,36,0.12715601921081543
0,37,0.15859343111515045
0,38,0.08457408100366592
0,39,0.0843396782875061
0,40,0.12161536514759064
0,41,0.10241839289665222
0,42,0.09707923233509064
0,43,0.12047978490591049
0,44,0.09478186070919037
0,45,0.097660593688488
0,46,0.11319763958454132
0,47,0.11051762849092484
0,48,0.09785198420286179
0,49,0.10024073719978333
0,50,0.09176371991634369
0,51,0.10626055300235748
0,52,0.09469029307365417
0,53,0.08772404491901398
0,54,0.06511566787958145
0,55,0.11368661373853683
0,56,0.0978265106678009
0,57,0.08604274690151215
0,58,0.08115524798631668
0,59,0.07284050434827805
0,60,0.0893988311290741
0,61,0.06757786870002747
0,62,0.06377393752336502
0,63,0.08325261622667313
0,64,0.08445361256599426
0,65,0.09191013127565384
0,66,0.10452807694673538
0,67,0.09712912142276764
0,68,0.0811251550912857
0,69,0.08467569947242737
0,70,0.07059808075428009
0,71,0.08419351279735565
0,72,0.07106835395097733
0,73,0.08726092427968979
0,74,0.08220651000738144
0,75,0.05334848910570145
0,76,0.08852558583021164
0,77,0.06599248200654984
0,78,0.05890919640660286
0,79,0.07068107277154922
1,1,0.05247381329536438
1,2,0.06373770534992218
1,3,0.0615568570792675
1,4,0.06550176441669464
1,5,0.08407571911811829
1,6,0.04662502557039261
1,7,0.05740990862250328
1,8,0.08440195769071579
1,9,0.0433240681886673
1,10,0.0605802908539772
1,11,0.03647158667445183
1,12,0.06481519341468811
1,13,0.04040490835905075
1,14,0.05464771017432213
1,15,0.06347567588090897
1,16,0.04546601325273514
1,17,0.0682847648859024
1,18,0.05014406517148018
1,19,0.06781931221485138
1,20,0.038544006645679474
1,21,0.06124851480126381
1,22,0.06271229684352875
1,23,0.07158702611923218
1,24,0.05412415787577629
1,25,0.04623565822839737
1,26,0.0489099845290184
1,27,0.03854124993085861
1,28,0.0699499100446701
1,29,0.03930605202913284
1,30,0.0448509119451046
1,31,0.049675364047288895
1,32,0.04441895708441734
1,33,0.04242958128452301
1,34,0.06504776328802109
1,35,0.0417376384139061
1,36,0.05007282644510269
1,37,0.050085194408893585
1,38,0.05772523581981659
1,39,0.05536625534296036
1,40,0.05054156109690666
1,41,0.0379212386906147
1,42,0.04946882650256157
1,43,0.028166813775897026
1,44,0.038744162768125534
1,45,0.0408751480281353
1,46,0.033829718828201294
1,47,0.03546610847115517
1,48,0.05575873702764511
1,49,0.03664127364754677
1,50,0.04288512095808983
1,51,0.04099521413445473
1,52,0.03633968532085419
1,53,0.03252936527132988
1,54,0.045219458639621735
1,55,0.052272967994213104
1,56,0.036016758531332016
1,57,0.058485694229602814
1,58,0.03784000873565674
1,59,0.05458948761224747
1,60,0.028929779306054115
1,61,0.028651615604758263
1,62,0.05084657296538353
1,63,0.04326446354389191
1,64,0.037092406302690506
